,input,output,original
0,hefoundaleprechauninhiswalnutshell,"['he', 'found', 'a', 'leprechaun', 'in', 'his', 'walnut', 'shell']",he found a leprechaun in his walnut shell
1,shetiltedherheadbackandletwhipcreamstreamintohermouthwhiletakingabath,"['she', 'tilted', 'her', 'head', 'back', 'and', 'let', 'whip', 'cream', 'stream', 'into', 'her', 'mouth', 'while', 'taking', 'a', 'bath']",she tilted her head back and let whip cream stream into her mouth while taking a bath
2,hefoundhisartneverprogressedwhenheliterallyusedhissweatandtears,"['he', 'found', 'his', 'art', 'never', 'progressed', 'when', 'he', 'literally', 'used', 'his', 'sweat', 'and', 'tears']",he found his art never progressed when he literally used his sweat and tears
3,theurgentcarecenterwasfloodedwithpatientsafterthenewsofanewdeadlyviruswasmadepublic,"['the', 'urgent', 'care', 'center', 'was', 'flooded', 'with', 'patients', 'after', 'the', 'news', 'of', 'a', 'new', 'deadly', 'virus', 'was', 'made', 'public']",the urgent care center was flooded with patients after the news of a new deadly virus was made public
4,hehadreachedthepointwherehewasparanoidaboutbeingparanoid,"['he', 'had', 'reached', 'the', 'point', 'where', 'he', 'was', 'paranoid', 'about', 'being', 'paranoid']",he had reached the point where he was paranoid about being paranoid
5,ioftenseethetimeoronclocks,"['i', 'often', 'see', 'the', 'time', 'or', 'on', 'clocks']",i often see the time  or  on clocks
6,warmbeeronacolddayisntmyideaoffun,"['warm', 'beer', 'on', 'a', 'cold', 'day', 'isnt', 'my', 'idea', 'of', 'fun']",warm beer on a cold day isnt my idea of fun
7,nowineedtopondermyexistenceandaskmyselfifimtrulyreal,"['now', 'i', 'need', 'to', 'ponder', 'my', 'existence', 'and', 'ask', 'myself', 'if', 'im', 'truly', 'real']",now i need to ponder my existence and ask myself if im truly real
8,hebarkedordersathisdaughtersbuttheyjuststaredbackwithamusement,"['he', 'barked', 'orders', 'at', 'his', 'daughters', 'but', 'they', 'just', 'stared', 'back', 'with', 'amusement']",he barked orders at his daughters but they just stared back with amusement
9,thewaveswerecrashingontheshoreitwasalovelysight,"['the', 'waves', 'were', 'crashing', 'on', 'the', 'shore', 'it', 'was', 'a', 'lovely', 'sight']",the waves were crashing on the shore it was a lovely sight
10,harroldfeltconfidentthatnobodywouldeversuspecthisspypigeon,"['harrold', 'felt', 'confident', 'that', 'nobody', 'would', 'ever', 'suspect', 'his', 'spy', 'pigeon']",harrold felt confident that nobody would ever suspect his spy pigeon
11,therearefewthingsbetterinlifethanasliceofpie,"['there', 'are', 'few', 'things', 'better', 'in', 'life', 'than', 'a', 'slice', 'of', 'pie']",there are few things better in life than a slice of pie
12,theskyisclearthestarsaretwinkling,"['the', 'sky', 'is', 'clear', 'the', 'stars', 'are', 'twinkling']",the sky is clear the stars are twinkling
13,atthatmomentsherealizedshehadasixthsense,"['at', 'that', 'moment', 'she', 'realized', 'she', 'had', 'a', 'sixth', 'sense']",at that moment she realized she had a sixth sense
14,sometimesyouhavetojustgiveupandwinbycheating,"['sometimes', 'you', 'have', 'to', 'just', 'give', 'up', 'and', 'win', 'by', 'cheating']",sometimes you have to just give up and win by cheating
15,hehatedthathelovedwhatshehatedabouthate,"['he', 'hated', 'that', 'he', 'loved', 'what', 'she', 'hated', 'about', 'hate']",he hated that he loved what she hated about hate
16,hewasthetypeofguywholikedchristmaslightsonhishouseinthemiddleofjuly,"['he', 'was', 'the', 'type', 'of', 'guy', 'who', 'liked', 'christmas', 'lights', 'on', 'his', 'house', 'in', 'the', 'middle', 'of', 'july']",he was the type of guy who liked christmas lights on his house in the middle of july
17,thethreeyearoldgirlrandownthebeachasthekiteflewbehindher,"['the', 'three', 'year', 'old', 'girl', 'ran', 'down', 'the', 'beach', 'as', 'the', 'kite', 'flew', 'behind', 'her']",the three year old girl ran down the beach as the kite flew behind her
18,iateasockbecausepeopleontheinternettoldmeto,"['i', 'ate', 'a', 'sock', 'because', 'people', 'on', 'the', 'internet', 'told', 'me', 'to']",i ate a sock because people on the internet told me to
19,thesunhadsetandsohadhisdreams,"['the', 'sun', 'had', 'set', 'and', 'so', 'had', 'his', 'dreams']",the sun had set and so had his dreams
20,sheinsistedthatcleaningoutyourclosetwasthekeytogooddriving,"['she', 'insisted', 'that', 'cleaning', 'out', 'your', 'closet', 'was', 'the', 'key', 'to', 'good', 'driving']",she insisted that cleaning out your closet was the key to good driving
21,hissonquippedthatpowerbarswerenothingmorethanadultcandybars,"['his', 'son', 'quipped', 'that', 'power', 'bars', 'were', 'nothing', 'more', 'than', 'adult', 'candy', 'bars']",his son quipped that power bars were nothing more than adult candy bars
22,itsdifficulttounderstandthelengthshedgotoremainshort,"['its', 'difficult', 'to', 'understand', 'the', 'lengths', 'hed', 'go', 'to', 'remain', 'short']",its difficult to understand the lengths hed go to remain short
23,theirargumentcouldbeheardacrosstheparkinglot,"['their', 'argument', 'could', 'be', 'heard', 'across', 'the', 'parking', 'lot']",their argument could be heard across the parking lot
24,theelephantdidntwanttotalkaboutthepersonintheroom,"['the', 'elephant', 'didnt', 'want', 'to', 'talk', 'about', 'the', 'person', 'in', 'the', 'room']",the elephant didnt want to talk about the person in the room
25,thisisajapanesedoll,"['this', 'is', 'a', 'japanese', 'doll']",this is a japanese doll
26,itwasatthatmomentthathelearnedtherearecertainpartsofthebodythatyoushouldnevernair,"['it', 'was', 'at', 'that', 'moment', 'that', 'he', 'learned', 'there', 'are', 'certain', 'parts', 'of', 'the', 'body', 'that', 'you', 'should', 'never', 'nair']",it was at that moment that he learned there are certain parts of the body that you should never nair
27,iwouldbedelightediftheseawerefullofcucumberjuice,"['i', 'would', 'be', 'delighted', 'if', 'the', 'sea', 'were', 'full', 'of', 'cucumber', 'juice']",i would be delighted if the sea were full of cucumber juice
28,shewasntsurewhethertobeimpressedorconcernedthathefoldedunderwearinneatlittlepackages,"['she', 'wasnt', 'sure', 'whether', 'to', 'be', 'impressed', 'or', 'concerned', 'that', 'he', 'folded', 'underwear', 'in', 'neat', 'little', 'packages']",she wasnt sure whether to be impressed or concerned that he folded underwear in neat little packages
29,itmustbefiveoclocksomewhere,"['it', 'must', 'be', 'five', 'oclock', 'somewhere']",it must be five oclock somewhere
30,behindthewindowwasareflectionthatonlyinstilledfear,"['behind', 'the', 'window', 'was', 'a', 'reflection', 'that', 'only', 'instilled', 'fear']",behind the window was a reflection that only instilled fear
31,itdidnttakelongforgarytodetecttherobberswereamateurs,"['it', 'didnt', 'take', 'long', 'for', 'gary', 'to', 'detect', 'the', 'robbers', 'were', 'amateurs']",it didnt take long for gary to detect the robbers were amateurs
32,hedreamedofeatinggreenappleswithworms,"['he', 'dreamed', 'of', 'eating', 'green', 'apples', 'with', 'worms']",he dreamed of eating green apples with worms
33,hewalkedintothebasementwiththehorrormoviefromthenightbeforeplayinginhishead,"['he', 'walked', 'into', 'the', 'basement', 'with', 'the', 'horror', 'movie', 'from', 'the', 'night', 'before', 'playing', 'in', 'his', 'head']",he walked into the basement with the horror movie from the night before playing in his head
34,itwasthefirsttimehehadeverseensomeonecookdinneronanelephant,"['it', 'was', 'the', 'first', 'time', 'he', 'had', 'ever', 'seen', 'someone', 'cook', 'dinner', 'on', 'an', 'elephant']",it was the first time he had ever seen someone cook dinner on an elephant
35,heendedupburninghisfingerspokingsomeoneelsesfire,"['he', 'ended', 'up', 'burning', 'his', 'fingers', 'poking', 'someone', 'elses', 'fire']",he ended up burning his fingers poking someone elses fire
36,dantookthedeepdivedowntherabbithole,"['dan', 'took', 'the', 'deep', 'dive', 'down', 'the', 'rabbit', 'hole']",dan took the deep dive down the rabbit hole
37,thedollspunaroundincirclesinhopesofcomingalive,"['the', 'doll', 'spun', 'around', 'in', 'circles', 'in', 'hopes', 'of', 'coming', 'alive']",the doll spun around in circles in hopes of coming alive
38,theywanderedintoastrangetikibarontheedgeofthesmallbeachtown,"['they', 'wandered', 'into', 'a', 'strange', 'tiki', 'bar', 'on', 'the', 'edge', 'of', 'the', 'small', 'beach', 'town']",they wandered into a strange tiki bar on the edge of the small beach town
39,theydidnothingastheraccoonattackedtheladysbagoffood,"['they', 'did', 'nothing', 'as', 'the', 'raccoon', 'attacked', 'the', 'ladys', 'bag', 'of', 'food']",they did nothing as the raccoon attacked the ladys bag of food
40,theneardeathexperiencebroughtnewideastolight,"['the', 'near', 'death', 'experience', 'brought', 'new', 'ideas', 'to', 'light']",the near death experience brought new ideas to light
41,thegoldenretrieverlovedthefireworkseachfourthofjuly,"['the', 'golden', 'retriever', 'loved', 'the', 'fireworks', 'each', 'fourth', 'of', 'july']",the golden retriever loved the fireworks each fourth of july
42,thetourbuswaspackedwithteenagegirlsheadingtowardtheirnextadventure,"['the', 'tour', 'bus', 'was', 'packed', 'with', 'teenage', 'girls', 'heading', 'toward', 'their', 'next', 'adventure']",the tour bus was packed with teenage girls heading toward their next adventure
43,hedranklifebeforespittingitout,"['he', 'drank', 'life', 'before', 'spitting', 'it', 'out']",he drank life before spitting it out
44,shecrieddiamonds,"['she', 'cried', 'diamonds']",she cried diamonds
45,therainpeltedthewindshieldasthedarknessengulfedus,"['the', 'rain', 'pelted', 'the', 'windshield', 'as', 'the', 'darkness', 'engulfed', 'us']",the rain pelted the windshield as the darkness engulfed us
46,aquiethouseisniceuntilyouareorderedtostayinitformonths,"['a', 'quiet', 'house', 'is', 'nice', 'until', 'you', 'are', 'ordered', 'to', 'stay', 'in', 'it', 'for', 'months']",a quiet house is nice until you are ordered to stay in it for months
47,thisbookissuretoliquefyyourbrain,"['this', 'book', 'is', 'sure', 'to', 'liquefy', 'your', 'brain']",this book is sure to liquefy your brain
48,shecouldntdecideoftheglasswashalfemptyorhalffullsoshedrankit,"['she', 'couldnt', 'decide', 'of', 'the', 'glass', 'was', 'half', 'empty', 'or', 'half', 'full', 'so', 'she', 'drank', 'it']",she couldnt decide of the glass was half empty or half full so she drank it
49,tomgotasmallpieceofpie,"['tom', 'got', 'a', 'small', 'piece', 'of', 'pie']",tom got a small piece of pie
50,iliketoleaveworkaftermyeighthourteabreak,"['i', 'like', 'to', 'leave', 'work', 'after', 'my', 'eight', 'hour', 'tea', 'break']",i like to leave work after my eight hour tea break
51,thedollspunaroundincirclesinhopesofcomingalive,"['the', 'doll', 'spun', 'around', 'in', 'circles', 'in', 'hopes', 'of', 'coming', 'alive']",the doll spun around in circles in hopes of coming alive
52,thehandsanitizerwasactuallyclearglue,"['the', 'hand', 'sanitizer', 'was', 'actually', 'clear', 'glue']",the hand sanitizer was actually clear glue
53,hefiguredafewsticksofdynamitewereeasierthanafishingpoletocatchfish,"['he', 'figured', 'a', 'few', 'sticks', 'of', 'dynamite', 'were', 'easier', 'than', 'a', 'fishing', 'pole', 'to', 'catch', 'fish']",he figured a few sticks of dynamite were easier than a fishing pole to catch fish
54,heexcelledatfiringpeoplenicely,"['he', 'excelled', 'at', 'firing', 'people', 'nicely']",he excelled at firing people nicely
55,todayisthedayillfinallyknowwhatbricktasteslike,"['today', 'is', 'the', 'day', 'ill', 'finally', 'know', 'what', 'brick', 'tastes', 'like']",today is the day ill finally know what brick tastes like
56,thegoldenretrieverlovedthefireworkseachfourthofjuly,"['the', 'golden', 'retriever', 'loved', 'the', 'fireworks', 'each', 'fourth', 'of', 'july']",the golden retriever loved the fireworks each fourth of july
57,theirargumentcouldbeheardacrosstheparkinglot,"['their', 'argument', 'could', 'be', 'heard', 'across', 'the', 'parking', 'lot']",their argument could be heard across the parking lot
58,purpleisthebestcityintheforest,"['purple', 'is', 'the', 'best', 'city', 'in', 'the', 'forest']",purple is the best city in the forest
59,iammyauntssistersdaughter,"['i', 'am', 'my', 'aunts', 'sisters', 'daughter']",i am my aunts sisters daughter
60,nancywasproudthatsheranatightshipwreck,"['nancy', 'was', 'proud', 'that', 'she', 'ran', 'a', 'tight', 'shipwreck']",nancy was proud that she ran a tight shipwreck
61,hehaddecidedtoaccepthisfateofacceptinghisfate,"['he', 'had', 'decided', 'to', 'accept', 'his', 'fate', 'of', 'accepting', 'his', 'fate']",he had decided to accept his fate of accepting his fate
62,thethreeyearoldgirlrandownthebeachasthekiteflewbehindher,"['the', 'three', 'year', 'old', 'girl', 'ran', 'down', 'the', 'beach', 'as', 'the', 'kite', 'flew', 'behind', 'her']",the three year old girl ran down the beach as the kite flew behind her
63,wisdomiseasilyacquiredwhenhidingunderthebedwithasaucepanonyourhead,"['wisdom', 'is', 'easily', 'acquired', 'when', 'hiding', 'under', 'the', 'bed', 'with', 'a', 'saucepan', 'on', 'your', 'head']",wisdom is easily acquired when hiding under the bed with a saucepan on your head
64,edithcoulddecideifsheshouldpaintherteethorbrushhernails,"['edith', 'could', 'decide', 'if', 'she', 'should', 'paint', 'her', 'teeth', 'or', 'brush', 'her', 'nails']",edith could decide if she should paint her teeth or brush her nails
65,shedidahappydancebecauseallofthesocksfromthedryermatched,"['she', 'did', 'a', 'happy', 'dance', 'because', 'all', 'of', 'the', 'socks', 'from', 'the', 'dryer', 'matched']",she did a happy dance because all of the socks from the dryer matched
66,wehaveyoungkidswhooftenwalkintoourroomatnightforvariousreasonsincludingclownsinthecloset,"['we', 'have', 'young', 'kids', 'who', 'often', 'walk', 'into', 'our', 'room', 'at', 'night', 'for', 'various', 'reasons', 'including', 'clowns', 'in', 'the', 'closet']",we have young kids who often walk into our room at night for various reasons including clowns in the closet
67,shefoldedherhandkerchiefneatly,"['she', 'folded', 'her', 'handkerchief', 'neatly']",she folded her handkerchief neatly
68,sheusedherownhairinthesouptogiveitmoreflavor,"['she', 'used', 'her', 'own', 'hair', 'in', 'the', 'soup', 'to', 'give', 'it', 'more', 'flavor']",she used her own hair in the soup to give it more flavor
69,yourgirlfriendboughtyourfavoritecookiecrispcerealbutforgottogetmilk,"['your', 'girlfriend', 'bought', 'your', 'favorite', 'cookie', 'crisp', 'cereal', 'but', 'forgot', 'to', 'get', 'milk']",your girlfriend bought your favorite cookie crisp cereal but forgot to get milk
70,itwasthefirsttimehehadeverseensomeonecookdinneronanelephant,"['it', 'was', 'the', 'first', 'time', 'he', 'had', 'ever', 'seen', 'someone', 'cook', 'dinner', 'on', 'an', 'elephant']",it was the first time he had ever seen someone cook dinner on an elephant
71,nothingseemedoutofplaceexceptthewashingmachineinthebar,"['nothing', 'seemed', 'out', 'of', 'place', 'except', 'the', 'washing', 'machine', 'in', 'the', 'bar']",nothing seemed out of place except the washing machine in the bar
72,theneardeathexperiencebroughtnewideastolight,"['the', 'near', 'death', 'experience', 'brought', 'new', 'ideas', 'to', 'light']",the near death experience brought new ideas to light
73,jennymadetheannouncementthatherbabywasanalien,"['jenny', 'made', 'the', 'announcement', 'that', 'her', 'baby', 'was', 'an', 'alien']",jenny made the announcement that her baby was an alien
74,itmustbefiveoclocksomewhere,"['it', 'must', 'be', 'five', 'oclock', 'somewhere']",it must be five oclock somewhere
75,thesignsaidtherewasroadworkaheadsohedecidedtospeedup,"['the', 'sign', 'said', 'there', 'was', 'road', 'work', 'ahead', 'so', 'he', 'decided', 'to', 'speed', 'up']",the sign said there was road work ahead so he decided to speed up
76,hefoundhisartneverprogressedwhenheliterallyusedhissweatandtears,"['he', 'found', 'his', 'art', 'never', 'progressed', 'when', 'he', 'literally', 'used', 'his', 'sweat', 'and', 'tears']",he found his art never progressed when he literally used his sweat and tears
77,thetortoisejumpedintothelakewithdreamsofbecomingaseaturtle,"['the', 'tortoise', 'jumped', 'into', 'the', 'lake', 'with', 'dreams', 'of', 'becoming', 'a', 'sea', 'turtle']",the tortoise jumped into the lake with dreams of becoming a sea turtle
78,thelakeisalongwayfromhere,"['the', 'lake', 'is', 'a', 'long', 'way', 'from', 'here']",the lake is a long way from here
79,rockmusicapproachesathighvelocity,"['rock', 'music', 'approaches', 'at', 'high', 'velocity']",rock music approaches at high velocity
80,thebeesdecidedtohaveamutinyagainsttheirqueen,"['the', 'bees', 'decided', 'to', 'have', 'a', 'mutiny', 'against', 'their', 'queen']",the bees decided to have a mutiny against their queen
81,nobodyhasencounteredanexplosivedaisyandlivedtotellthetale,"['nobody', 'has', 'encountered', 'an', 'explosive', 'daisy', 'and', 'lived', 'to', 'tell', 'the', 'tale']",nobody has encountered an explosive daisy and lived to tell the tale
82,lightningparadisewasthelocalhangoutjointwherethegroupusuallyendedupspendingthenight,"['lightning', 'paradise', 'was', 'the', 'local', 'hangout', 'joint', 'where', 'the', 'group', 'usually', 'ended', 'up', 'spending', 'the', 'night']",lightning paradise was the local hangout joint where the group usually ended up spending the night
83,therearentenoughtowelsintheworldtostopthesewageflowingfromhismouth,"['there', 'arent', 'enough', 'towels', 'in', 'the', 'world', 'to', 'stop', 'the', 'sewage', 'flowing', 'from', 'his', 'mouth']",there arent enough towels in the world to stop the sewage flowing from his mouth
84,thesnowcoveredpathwasnohelpinfindinghiswayoutofthebackcountry,"['the', 'snow', 'covered', 'path', 'was', 'no', 'help', 'in', 'finding', 'his', 'way', 'out', 'of', 'the', 'back', 'country']",the snow covered path was no help in finding his way out of the back country
85,thedoorswungopentorevealpinkgiraffesandredelephants,"['the', 'door', 'swung', 'open', 'to', 'reveal', 'pink', 'giraffes', 'and', 'red', 'elephants']",the door swung open to reveal pink giraffes and red elephants
86,happinesscanbefoundinthedepthsofchocolatepudding,"['happiness', 'can', 'be', 'found', 'in', 'the', 'depths', 'of', 'chocolate', 'pudding']",happiness can be found in the depths of chocolate pudding
87,thereisnobetterfeelingthanstaringatawallwithclosedeyes,"['there', 'is', 'no', 'better', 'feeling', 'than', 'staring', 'at', 'a', 'wall', 'with', 'closed', 'eyes']",there is no better feeling than staring at a wall with closed eyes
88,shelivedonmonkeyjungleroadandthatseemedtoexplainallofherstrangeness,"['she', 'lived', 'on', 'monkey', 'jungle', 'road', 'and', 'that', 'seemed', 'to', 'explain', 'all', 'of', 'her', 'strangeness']",she lived on monkey jungle road and that seemed to explain all of her strangeness
89,thatwashowhecametowinmillion,"['that', 'was', 'how', 'he', 'came', 'to', 'win', 'million']",that was how he came to win  million
90,mallsaregreatplacestoshopicanfindeverythingineedunderoneroof,"['malls', 'are', 'great', 'places', 'to', 'shop', 'i', 'can', 'find', 'everything', 'i', 'need', 'under', 'one', 'roof']",malls are great places to shop i can find everything i need under one roof
91,thebodypiercingdidntgoexactlyasheexpected,"['the', 'body', 'piercing', 'didnt', 'go', 'exactly', 'as', 'he', 'expected']",the body piercing didnt go exactly as he expected
92,twomoredaysandallhisproblemswouldbesolved,"['two', 'more', 'days', 'and', 'all', 'his', 'problems', 'would', 'be', 'solved']",two more days and all his problems would be solved
93,ilikedtheirfirsttwoalbumsbutchangedmymindafterthatcharitygig,"['i', 'liked', 'their', 'first', 'two', 'albums', 'but', 'changed', 'my', 'mind', 'after', 'that', 'charity', 'gig']",i liked their first two albums but changed my mind after that charity gig
94,theneardeathexperiencebroughtnewideastolight,"['the', 'near', 'death', 'experience', 'brought', 'new', 'ideas', 'to', 'light']",the near death experience brought new ideas to light
95,eventhoughhethoughttheworldwasflathedidntseetheironyofwantingtotravelaroundtheworld,"['even', 'though', 'he', 'thought', 'the', 'world', 'was', 'flat', 'he', 'didnt', 'see', 'the', 'irony', 'of', 'wanting', 'to', 'travel', 'around', 'the', 'world']",even though he thought the world was flat he didnt see the irony of wanting to travel around the world
96,pinkhorsesgallopedacrossthesea,"['pink', 'horses', 'galloped', 'across', 'the', 'sea']",pink horses galloped across the sea
97,hewaitedforthestopsigntoturntoagosign,"['he', 'waited', 'for', 'the', 'stop', 'sign', 'to', 'turn', 'to', 'a', 'go', 'sign']",he waited for the stop sign to turn to a go sign
98,itdidnttakelongforgarytodetecttherobberswereamateurs,"['it', 'didnt', 'take', 'long', 'for', 'gary', 'to', 'detect', 'the', 'robbers', 'were', 'amateurs']",it didnt take long for gary to detect the robbers were amateurs
99,wisdomiseasilyacquiredwhenhidingunderthebedwithasaucepanonyourhead,"['wisdom', 'is', 'easily', 'acquired', 'when', 'hiding', 'under', 'the', 'bed', 'with', 'a', 'saucepan', 'on', 'your', 'head']",wisdom is easily acquired when hiding under the bed with a saucepan on your head
100,thesunhadsetandsohadhisdreams,"['the', 'sun', 'had', 'set', 'and', 'so', 'had', 'his', 'dreams']",the sun had set and so had his dreams
101,jeannewishedshehaschosentheredbutton,"['jeanne', 'wished', 'she', 'has', 'chosen', 'the', 'red', 'button']",jeanne wished she has chosen the red button
102,hedranklifebeforespittingitout,"['he', 'drank', 'life', 'before', 'spitting', 'it', 'out']",he drank life before spitting it out
103,imalivingfurnace,"['im', 'a', 'living', 'furnace']",im a living furnace
104,thememoryweusedtoshareisnolongercoherent,"['the', 'memory', 'we', 'used', 'to', 'share', 'is', 'no', 'longer', 'coherent']",the memory we used to share is no longer coherent
105,pleasewaitoutsideofthehouse,"['please', 'wait', 'outside', 'of', 'the', 'house']",please wait outside of the house
106,hesteppedgingerlyontothebridgeknowingthatenchantmentawaitedontheotherside,"['he', 'stepped', 'gingerly', 'onto', 'the', 'bridge', 'knowing', 'that', 'enchantment', 'awaited', 'on', 'the', 'other', 'side']",he stepped gingerly onto the bridge knowing that enchantment awaited on the other side
107,thebulletpiercedthewindowshatteringitbeforemissingdannysheadbymeremillimeters,"['the', 'bullet', 'pierced', 'the', 'window', 'shattering', 'it', 'before', 'missing', 'dannys', 'head', 'by', 'mere', 'millimeters']",the bullet pierced the window shattering it before missing dannys head by mere millimeters
108,itsaskateboardingpenguinwithasunhat,"['its', 'a', 'skateboarding', 'penguin', 'with', 'a', 'sunhat']",its a skateboarding penguin with a sunhat
109,swimatyourownriskwastakenasachallengeforthegroupofkansascitycollegestudents,"['swim', 'at', 'your', 'own', 'risk', 'was', 'taken', 'as', 'a', 'challenge', 'for', 'the', 'group', 'of', 'kansas', 'city', 'college', 'students']",swim at your own risk was taken as a challenge for the group of kansas city college students
110,helookedbehindthedooranddidntlikewhathesaw,"['he', 'looked', 'behind', 'the', 'door', 'and', 'didnt', 'like', 'what', 'he', 'saw']",he looked behind the door and didnt like what he saw
111,shewantedapetplatypusbutendedupgettingaduckandaferretinstead,"['she', 'wanted', 'a', 'pet', 'platypus', 'but', 'ended', 'up', 'getting', 'a', 'duck', 'and', 'a', 'ferret', 'instead']",she wanted a pet platypus but ended up getting a duck and a ferret instead
112,hismindwasblownthattherewasnothinginspaceexceptspaceitself,"['his', 'mind', 'was', 'blown', 'that', 'there', 'was', 'nothing', 'in', 'space', 'except', 'space', 'itself']",his mind was blown that there was nothing in space except space itself
113,hedecidedtolivehislifebythebigbeatsmanifesto,"['he', 'decided', 'to', 'live', 'his', 'life', 'by', 'the', 'big', 'beats', 'manifesto']",he decided to live his life by the big beats manifesto
114,itwasalwaysdangeroustodrivewithhimsinceheinsistedthesafetyconeswereaslalomcourse,"['it', 'was', 'always', 'dangerous', 'to', 'drive', 'with', 'him', 'since', 'he', 'insisted', 'the', 'safety', 'cones', 'were', 'a', 'slalom', 'course']",it was always dangerous to drive with him since he insisted the safety cones were a slalom course
115,itsnotpossibletoconvinceamonkeytogiveyouabananabypromisingitinfinitebananaswhentheydie,"['its', 'not', 'possible', 'to', 'convince', 'a', 'monkey', 'to', 'give', 'you', 'a', 'banana', 'by', 'promising', 'it', 'infinite', 'bananas', 'when', 'they', 'die']",its not possible to convince a monkey to give you a banana by promising it infinite bananas when they die
116,solongandthanksforthefish,"['so', 'long', 'and', 'thanks', 'for', 'the', 'fish']",so long and thanks for the fish
117,youvebeeneyeingmealldayandwaitingforyourmovelikealionstalkingagazelleinasavannah,"['youve', 'been', 'eyeing', 'me', 'all', 'day', 'and', 'waiting', 'for', 'your', 'move', 'like', 'a', 'lion', 'stalking', 'a', 'gazelle', 'in', 'a', 'savannah']",youve been eyeing me all day and waiting for your move like a lion stalking a gazelle in a savannah
118,hedidntunderstandwhythebirdwantedtoridethebicycle,"['he', 'didnt', 'understand', 'why', 'the', 'bird', 'wanted', 'to', 'ride', 'the', 'bicycle']",he didnt understand why the bird wanted to ride the bicycle
119,hefiguredafewsticksofdynamitewereeasierthanafishingpoletocatchfish,"['he', 'figured', 'a', 'few', 'sticks', 'of', 'dynamite', 'were', 'easier', 'than', 'a', 'fishing', 'pole', 'to', 'catch', 'fish']",he figured a few sticks of dynamite were easier than a fishing pole to catch fish
