,input,output,original
120,thewaveswerecrashingontheshoreitwasalovelysight,"['the', 'waves', 'were', 'crashing', 'on', 'the', 'shore', 'it', 'was', 'a', 'lovely', 'sight']",the waves were crashing on the shore it was a lovely sight
121,poisonivygrewthroughthefencetheysaidwasimpenetrable,"['poison', 'ivy', 'grew', 'through', 'the', 'fence', 'they', 'said', 'was', 'impenetrable']",poison ivy grew through the fence they said was impenetrable
122,checkbacktomorrowiwillseeifthebookhasarrived,"['check', 'back', 'tomorrow', 'i', 'will', 'see', 'if', 'the', 'book', 'has', 'arrived']",check back tomorrow i will see if the book has arrived
123,hesworehejustsawhissushimove,"['he', 'swore', 'he', 'just', 'saw', 'his', 'sushi', 'move']",he swore he just saw his sushi move
124,heknewitwasgoingtobeabaddaywhenhesawmountainlionsroamingthestreets,"['he', 'knew', 'it', 'was', 'going', 'to', 'be', 'a', 'bad', 'day', 'when', 'he', 'saw', 'mountain', 'lions', 'roaming', 'the', 'streets']",he knew it was going to be a bad day when he saw mountain lions roaming the streets
125,therecanneverbetoomanycherriesonanicecreamsundae,"['there', 'can', 'never', 'be', 'too', 'many', 'cherries', 'on', 'an', 'ice', 'cream', 'sundae']",there can never be too many cherries on an ice cream sundae
126,becarefulwiththatbutterknife,"['be', 'careful', 'with', 'that', 'butter', 'knife']",be careful with that butter knife
127,iguanaswerefallingoutofthetrees,"['iguanas', 'were', 'falling', 'out', 'of', 'the', 'trees']",iguanas were falling out of the trees
128,theantsenjoyedthebarbecuemorethanthefamily,"['the', 'ants', 'enjoyed', 'the', 'barbecue', 'more', 'than', 'the', 'family']",the ants enjoyed the barbecue more than the family
129,thebodypiercingdidntgoexactlyasheexpected,"['the', 'body', 'piercing', 'didnt', 'go', 'exactly', 'as', 'he', 'expected']",the body piercing didnt go exactly as he expected
130,hewassurprisedthathisimmenselazinesswasinspirationaltoothers,"['he', 'was', 'surprised', 'that', 'his', 'immense', 'laziness', 'was', 'inspirational', 'to', 'others']",he was surprised that his immense laziness was inspirational to others
131,fleshcoloredyogapantswerefarworsethanevenhefeared,"['flesh', 'colored', 'yoga', 'pants', 'were', 'far', 'worse', 'than', 'even', 'he', 'feared']",flesh colored yoga pants were far worse than even he feared
132,hedranklifebeforespittingitout,"['he', 'drank', 'life', 'before', 'spitting', 'it', 'out']",he drank life before spitting it out
133,shewasdisgustedhecouldnttellthedifferencebetweenlemonadeandlimeade,"['she', 'was', 'disgusted', 'he', 'couldnt', 'tell', 'the', 'difference', 'between', 'lemonade', 'and', 'limeade']",she was disgusted he couldnt tell the difference between lemonade and limeade
134,thetoybroughtbackfondmemoriesofbeinglostintherainforest,"['the', 'toy', 'brought', 'back', 'fond', 'memories', 'of', 'being', 'lost', 'in', 'the', 'rain', 'forest']",the toy brought back fond memories of being lost in the rain forest
135,thememoryweusedtoshareisnolongercoherent,"['the', 'memory', 'we', 'used', 'to', 'share', 'is', 'no', 'longer', 'coherent']",the memory we used to share is no longer coherent
136,thegreatdanelookedmorelikeahorsethanadog,"['the', 'great', 'dane', 'looked', 'more', 'like', 'a', 'horse', 'than', 'a', 'dog']",the great dane looked more like a horse than a dog
137,thethickfoliageandintertwinedvinesmadethehikenearlyimpossible,"['the', 'thick', 'foliage', 'and', 'intertwined', 'vines', 'made', 'the', 'hike', 'nearly', 'impossible']",the thick foliage and intertwined vines made the hike nearly impossible
138,thisisajapanesedoll,"['this', 'is', 'a', 'japanese', 'doll']",this is a japanese doll
139,thebestkeylimepieisstillupfordebate,"['the', 'best', 'key', 'lime', 'pie', 'is', 'still', 'up', 'for', 'debate']",the best key lime pie is still up for debate
140,helookedbehindthedooranddidntlikewhathesaw,"['he', 'looked', 'behind', 'the', 'door', 'and', 'didnt', 'like', 'what', 'he', 'saw']",he looked behind the door and didnt like what he saw
141,icoveredmyfriendinbabyoil,"['i', 'covered', 'my', 'friend', 'in', 'baby', 'oil']",i covered my friend in baby oil
142,hepouredrocksinthedungeonofhismind,"['he', 'poured', 'rocks', 'in', 'the', 'dungeon', 'of', 'his', 'mind']",he poured rocks in the dungeon of his mind
143,theopportunityofalifetimepassedbeforehimashetriedtodecidebetweenaconeoracup,"['the', 'opportunity', 'of', 'a', 'lifetime', 'passed', 'before', 'him', 'as', 'he', 'tried', 'to', 'decide', 'between', 'a', 'cone', 'or', 'a', 'cup']",the opportunity of a lifetime passed before him as he tried to decide between a cone or a cup
144,courageandstupiditywereallhehad,"['courage', 'and', 'stupidity', 'were', 'all', 'he', 'had']",courage and stupidity were all he had
145,histhoughtprocesswasonsomanylevelsthathegavehimselfaphobiaofheights,"['his', 'thought', 'process', 'was', 'on', 'so', 'many', 'levels', 'that', 'he', 'gave', 'himself', 'a', 'phobia', 'of', 'heights']",his thought process was on so many levels that he gave himself a phobia of heights
146,itwasareallygoodmondayforbeingasaturday,"['it', 'was', 'a', 'really', 'good', 'monday', 'for', 'being', 'a', 'saturday']",it was a really good monday for being a saturday
147,shehadahabitoftakingshowersinlemonade,"['she', 'had', 'a', 'habit', 'of', 'taking', 'showers', 'in', 'lemonade']",she had a habit of taking showers in lemonade
148,ittookhimamonthtofinishthemeal,"['it', 'took', 'him', 'a', 'month', 'to', 'finish', 'the', 'meal']",it took him a month to finish the meal
149,thefishlistenedintentlytowhatthefrogshadtosay,"['the', 'fish', 'listened', 'intently', 'to', 'what', 'the', 'frogs', 'had', 'to', 'say']",the fish listened intently to what the frogs had to say
150,themurderhornetwasdisappointedbythepreconceivedideaspeoplehadofhim,"['the', 'murder', 'hornet', 'was', 'disappointed', 'by', 'the', 'preconceived', 'ideas', 'people', 'had', 'of', 'him']",the murder hornet was disappointed by the preconceived ideas people had of him
151,nowineedtopondermyexistenceandaskmyselfifimtrulyreal,"['now', 'i', 'need', 'to', 'ponder', 'my', 'existence', 'and', 'ask', 'myself', 'if', 'im', 'truly', 'real']",now i need to ponder my existence and ask myself if im truly real
152,tuesdaysarefreeifyoubringagnomecostume,"['tuesdays', 'are', 'free', 'if', 'you', 'bring', 'a', 'gnome', 'costume']",tuesdays are free if you bring a gnome costume
153,cursivewritingisthebestwaytobuildaracetrack,"['cursive', 'writing', 'is', 'the', 'best', 'way', 'to', 'build', 'a', 'race', 'track']",cursive writing is the best way to build a race track
154,iamneverathomeonsundays,"['i', 'am', 'never', 'at', 'home', 'on', 'sundays']",i am never at home on sundays
155,theglovesprotectmyfeetfromexcesswork,"['the', 'gloves', 'protect', 'my', 'feet', 'from', 'excess', 'work']",the gloves protect my feet from excess work
156,maryplaysthepiano,"['mary', 'plays', 'the', 'piano']",mary plays the piano
157,itturnsoutyoudontneedallthatstuffyouinsistedyoudid,"['it', 'turns', 'out', 'you', 'dont', 'need', 'all', 'that', 'stuff', 'you', 'insisted', 'you', 'did']",it turns out you dont need all that stuff you insisted you did
158,hewaswillingtofindthedepthsoftherabbitholeinordertobewithher,"['he', 'was', 'willing', 'to', 'find', 'the', 'depths', 'of', 'the', 'rabbit', 'hole', 'in', 'order', 'to', 'be', 'with', 'her']",he was willing to find the depths of the rabbit hole in order to be with her
159,theylookedupattheskyandsawamillionstars,"['they', 'looked', 'up', 'at', 'the', 'sky', 'and', 'saw', 'a', 'million', 'stars']",they looked up at the sky and saw a million stars
160,thenewlyplantedtreeswereheldupbywoodenframesinhopestheycouldsurvivethenextstorm,"['the', 'newly', 'planted', 'trees', 'were', 'held', 'up', 'by', 'wooden', 'frames', 'in', 'hopes', 'they', 'could', 'survive', 'the', 'next', 'storm']",the newly planted trees were held up by wooden frames in hopes they could survive the next storm
161,pantyhoseandheelsareaninterestingchoiceofattireforthebeach,"['pantyhose', 'and', 'heels', 'are', 'an', 'interesting', 'choice', 'of', 'attire', 'for', 'the', 'beach']",pantyhose and heels are an interesting choice of attire for the beach
162,hewasdisappointedwhenhefoundthebeachtobesosandyandthesunsosunny,"['he', 'was', 'disappointed', 'when', 'he', 'found', 'the', 'beach', 'to', 'be', 'so', 'sandy', 'and', 'the', 'sun', 'so', 'sunny']",he was disappointed when he found the beach to be so sandy and the sun so sunny
163,everyonewascuriousaboutthelargewhiteblimpthatappearedovernight,"['everyone', 'was', 'curious', 'about', 'the', 'large', 'white', 'blimp', 'that', 'appeared', 'overnight']",everyone was curious about the large white blimp that appeared overnight
164,toomanyprisonshavebecomeearlycoffins,"['too', 'many', 'prisons', 'have', 'become', 'early', 'coffins']",too many prisons have become early coffins
165,plansforthisweekendincludeturningwineintowater,"['plans', 'for', 'this', 'weekend', 'include', 'turning', 'wine', 'into', 'water']",plans for this weekend include turning wine into water
166,hewassittinginatrashcanwithhighstreetclass,"['he', 'was', 'sitting', 'in', 'a', 'trash', 'can', 'with', 'high', 'street', 'class']",he was sitting in a trash can with high street class
167,everybodyshouldreadchaucertoimprovetheireverydayvocabulary,"['everybody', 'should', 'read', 'chaucer', 'to', 'improve', 'their', 'everyday', 'vocabulary']",everybody should read chaucer to improve their everyday vocabulary
168,happinesscanbefoundinthedepthsofchocolatepudding,"['happiness', 'can', 'be', 'found', 'in', 'the', 'depths', 'of', 'chocolate', 'pudding']",happiness can be found in the depths of chocolate pudding
169,luciferwassurprisedattheamountoflifeatdeathvalley,"['lucifer', 'was', 'surprised', 'at', 'the', 'amount', 'of', 'life', 'at', 'death', 'valley']",lucifer was surprised at the amount of life at death valley
170,hequietlyenteredthemuseumasthesuperbowlstarted,"['he', 'quietly', 'entered', 'the', 'museum', 'as', 'the', 'super', 'bowl', 'started']",he quietly entered the museum as the super bowl started
171,helearnedtheimportantlessonthatapicnicatthebeachonawindydayisabadidea,"['he', 'learned', 'the', 'important', 'lesson', 'that', 'a', 'picnic', 'at', 'the', 'beach', 'on', 'a', 'windy', 'day', 'is', 'a', 'bad', 'idea']",he learned the important lesson that a picnic at the beach on a windy day is a bad idea
172,fluffypinkunicornsareapopularstatussymbolamongmachomen,"['fluffy', 'pink', 'unicorns', 'are', 'a', 'popular', 'status', 'symbol', 'among', 'macho', 'men']",fluffy pink unicorns are a popular status symbol among macho men
173,dontsteponthebrokenglass,"['dont', 'step', 'on', 'the', 'broken', 'glass']",dont step on the broken glass
174,joemadethesugarcookiessusandecoratedthem,"['joe', 'made', 'the', 'sugar', 'cookies', 'susan', 'decorated', 'them']",joe made the sugar cookies susan decorated them
175,sheborrowedthebookfromhimmanyyearsagoandhasntyetreturnedit,"['she', 'borrowed', 'the', 'book', 'from', 'him', 'many', 'years', 'ago', 'and', 'hasnt', 'yet', 'returned', 'it']",she borrowed the book from him many years ago and hasnt yet returned it
176,shedidahappydancebecauseallofthesocksfromthedryermatched,"['she', 'did', 'a', 'happy', 'dance', 'because', 'all', 'of', 'the', 'socks', 'from', 'the', 'dryer', 'matched']",she did a happy dance because all of the socks from the dryer matched
177,hecoloreddeepspaceasoftyellow,"['he', 'colored', 'deep', 'space', 'a', 'soft', 'yellow']",he colored deep space a soft yellow
178,thatwashowhecametowinmillion,"['that', 'was', 'how', 'he', 'came', 'to', 'win', 'million']",that was how he came to win  million
179,heusesonomatopoeiaasaweaponofmentaldestruction,"['he', 'uses', 'onomatopoeia', 'as', 'a', 'weapon', 'of', 'mental', 'destruction']",he uses onomatopoeia as a weapon of mental destruction
180,heknewitwasgoingtobeabaddaywhenhesawmountainlionsroamingthestreets,"['he', 'knew', 'it', 'was', 'going', 'to', 'be', 'a', 'bad', 'day', 'when', 'he', 'saw', 'mountain', 'lions', 'roaming', 'the', 'streets']",he knew it was going to be a bad day when he saw mountain lions roaming the streets
181,thegreenteaandavocadosmoothieturnedoutexactlyaswouldbeexpected,"['the', 'green', 'tea', 'and', 'avocado', 'smoothie', 'turned', 'out', 'exactly', 'as', 'would', 'be', 'expected']",the green tea and avocado smoothie turned out exactly as would be expected
182,hedecidedtocountallthesandonthebeachasahobby,"['he', 'decided', 'to', 'count', 'all', 'the', 'sand', 'on', 'the', 'beach', 'as', 'a', 'hobby']",he decided to count all the sand on the beach as a hobby
183,ofisthesameasofandoneofthemismucheasiertodoinyourhead,"['of', 'is', 'the', 'same', 'as', 'of', 'and', 'one', 'of', 'them', 'is', 'much', 'easier', 'to', 'do', 'in', 'your', 'head']", of  is the same as  of  and one of them is much easier to do in your head
184,theguineafowlfliesthroughtheairwithallthegraceofaturtle,"['the', 'guinea', 'fowl', 'flies', 'through', 'the', 'air', 'with', 'all', 'the', 'grace', 'of', 'a', 'turtle']",the guinea fowl flies through the air with all the grace of a turtle
185,babywipesaremadeofchocolatestardust,"['baby', 'wipes', 'are', 'made', 'of', 'chocolate', 'stardust']",baby wipes are made of chocolate stardust
186,hissonquippedthatpowerbarswerenothingmorethanadultcandybars,"['his', 'son', 'quipped', 'that', 'power', 'bars', 'were', 'nothing', 'more', 'than', 'adult', 'candy', 'bars']",his son quipped that power bars were nothing more than adult candy bars
187,wehaveyoungkidswhooftenwalkintoourroomatnightforvariousreasonsincludingclownsinthecloset,"['we', 'have', 'young', 'kids', 'who', 'often', 'walk', 'into', 'our', 'room', 'at', 'night', 'for', 'various', 'reasons', 'including', 'clowns', 'in', 'the', 'closet']",we have young kids who often walk into our room at night for various reasons including clowns in the closet
188,itwasalwaysdangeroustodrivewithhimsinceheinsistedthesafetyconeswereaslalomcourse,"['it', 'was', 'always', 'dangerous', 'to', 'drive', 'with', 'him', 'since', 'he', 'insisted', 'the', 'safety', 'cones', 'were', 'a', 'slalom', 'course']",it was always dangerous to drive with him since he insisted the safety cones were a slalom course
189,doloreswouldnthaveeatenthemealifshehadknownwhatitactuallywas,"['dolores', 'wouldnt', 'have', 'eaten', 'the', 'meal', 'if', 'she', 'had', 'known', 'what', 'it', 'actually', 'was']",dolores wouldnt have eaten the meal if she had known what it actually was
190,itwasatthatmomentthathelearnedtherearecertainpartsofthebodythatyoushouldnevernair,"['it', 'was', 'at', 'that', 'moment', 'that', 'he', 'learned', 'there', 'are', 'certain', 'parts', 'of', 'the', 'body', 'that', 'you', 'should', 'never', 'nair']",it was at that moment that he learned there are certain parts of the body that you should never nair
191,wheniwaslittleihadacardoorslammedshutonmyhandandistillrememberitquitevividly,"['when', 'i', 'was', 'little', 'i', 'had', 'a', 'car', 'door', 'slammed', 'shut', 'on', 'my', 'hand', 'and', 'i', 'still', 'remember', 'it', 'quite', 'vividly']",when i was little i had a car door slammed shut on my hand and i still remember it quite vividly
192,thisisajapanesedoll,"['this', 'is', 'a', 'japanese', 'doll']",this is a japanese doll
193,histhoughtprocesswasonsomanylevelsthathegavehimselfaphobiaofheights,"['his', 'thought', 'process', 'was', 'on', 'so', 'many', 'levels', 'that', 'he', 'gave', 'himself', 'a', 'phobia', 'of', 'heights']",his thought process was on so many levels that he gave himself a phobia of heights
194,hefoundaleprechauninhiswalnutshell,"['he', 'found', 'a', 'leprechaun', 'in', 'his', 'walnut', 'shell']",he found a leprechaun in his walnut shell
195,toomanyprisonshavebecomeearlycoffins,"['too', 'many', 'prisons', 'have', 'become', 'early', 'coffins']",too many prisons have become early coffins
196,hewassurethedevilcreatedredsparklyglitter,"['he', 'was', 'sure', 'the', 'devil', 'created', 'red', 'sparkly', 'glitter']",he was sure the devil created red sparkly glitter
197,nobodyquestionswhobuiltthepyramidsinmexico,"['nobody', 'questions', 'who', 'built', 'the', 'pyramids', 'in', 'mexico']",nobody questions who built the pyramids in mexico
198,marthacametotheconclusionthatshakeweightsareagreatgiftforanyoccasion,"['martha', 'came', 'to', 'the', 'conclusion', 'that', 'shake', 'weights', 'are', 'a', 'great', 'gift', 'for', 'any', 'occasion']",martha came to the conclusion that shake weights are a great gift for any occasion
199,asuitofarmorprovidesexcellentsunprotectiononhotdays,"['a', 'suit', 'of', 'armor', 'provides', 'excellent', 'sun', 'protection', 'on', 'hot', 'days']",a suit of armor provides excellent sun protection on hot days
200,therearentenoughtowelsintheworldtostopthesewageflowingfromhismouth,"['there', 'arent', 'enough', 'towels', 'in', 'the', 'world', 'to', 'stop', 'the', 'sewage', 'flowing', 'from', 'his', 'mouth']",there arent enough towels in the world to stop the sewage flowing from his mouth
201,nowineedtopondermyexistenceandaskmyselfifimtrulyreal,"['now', 'i', 'need', 'to', 'ponder', 'my', 'existence', 'and', 'ask', 'myself', 'if', 'im', 'truly', 'real']",now i need to ponder my existence and ask myself if im truly real
202,abstractionisoftenoneflooraboveyou,"['abstraction', 'is', 'often', 'one', 'floor', 'above', 'you']",abstraction is often one floor above you
203,sixtyfourcomesaskingforbread,"['sixty', 'four', 'comes', 'asking', 'for', 'bread']",sixty four comes asking for bread
204,asheenteredthechurchhecouldhearthesoftvoiceofsomeonewhisperingintoacellphone,"['as', 'he', 'entered', 'the', 'church', 'he', 'could', 'hear', 'the', 'soft', 'voice', 'of', 'someone', 'whispering', 'into', 'a', 'cell', 'phone']",as he entered the church he could hear the soft voice of someone whispering into a cell phone
205,aquiethouseisniceuntilyouareorderedtostayinitformonths,"['a', 'quiet', 'house', 'is', 'nice', 'until', 'you', 'are', 'ordered', 'to', 'stay', 'in', 'it', 'for', 'months']",a quiet house is nice until you are ordered to stay in it for months
206,youbiteupbecauseofyourlowerjaw,"['you', 'bite', 'up', 'because', 'of', 'your', 'lower', 'jaw']",you bite up because of your lower jaw
207,theefficiencywehaveatremovingtrashhasmadecreatingtrashmoreacceptable,"['the', 'efficiency', 'we', 'have', 'at', 'removing', 'trash', 'has', 'made', 'creating', 'trash', 'more', 'acceptable']",the efficiency we have at removing trash has made creating trash more acceptable
208,swimatyourownriskwastakenasachallengeforthegroupofkansascitycollegestudents,"['swim', 'at', 'your', 'own', 'risk', 'was', 'taken', 'as', 'a', 'challenge', 'for', 'the', 'group', 'of', 'kansas', 'city', 'college', 'students']",swim at your own risk was taken as a challenge for the group of kansas city college students
209,wehavealotofraininjune,"['we', 'have', 'a', 'lot', 'of', 'rain', 'in', 'june']",we have a lot of rain in june
210,thefatherdiedduringchildbirth,"['the', 'father', 'died', 'during', 'childbirth']",the father died during childbirth
211,ironpyriteisthemostfoolishofallminerals,"['iron', 'pyrite', 'is', 'the', 'most', 'foolish', 'of', 'all', 'minerals']",iron pyrite is the most foolish of all minerals
212,peoplegenerallyapproveofdogseatingcatfoodbutnotcatseatingdogfood,"['people', 'generally', 'approve', 'of', 'dogs', 'eating', 'cat', 'food', 'but', 'not', 'cats', 'eating', 'dog', 'food']",people generally approve of dogs eating cat food but not cats eating dog food
213,heplayedthegameasifhislifedependedonitandthetruthwasthatitdid,"['he', 'played', 'the', 'game', 'as', 'if', 'his', 'life', 'depended', 'on', 'it', 'and', 'the', 'truth', 'was', 'that', 'it', 'did']",he played the game as if his life depended on it and the truth was that it did
214,thetricktogettingkidstoeatanythingistoputcatchuponit,"['the', 'trick', 'to', 'getting', 'kids', 'to', 'eat', 'anything', 'is', 'to', 'put', 'catchup', 'on', 'it']",the trick to getting kids to eat anything is to put catchup on it
215,thestrangerofficiatesthemeal,"['the', 'stranger', 'officiates', 'the', 'meal']",the stranger officiates the meal
216,separationanxietyiswhathappenswhenyoucantfindyourphone,"['separation', 'anxiety', 'is', 'what', 'happens', 'when', 'you', 'cant', 'find', 'your', 'phone']",separation anxiety is what happens when you cant find your phone
217,thevirushadpowersnoneofusknewexisted,"['the', 'virus', 'had', 'powers', 'none', 'of', 'us', 'knew', 'existed']",the virus had powers none of us knew existed
218,sheinsistedthatcleaningoutyourclosetwasthekeytogooddriving,"['she', 'insisted', 'that', 'cleaning', 'out', 'your', 'closet', 'was', 'the', 'key', 'to', 'good', 'driving']",she insisted that cleaning out your closet was the key to good driving
219,healwaysworehissunglassesatnight,"['he', 'always', 'wore', 'his', 'sunglasses', 'at', 'night']",he always wore his sunglasses at night
220,hedecidedwaterskiingonafrozenlakewasntagoodidea,"['he', 'decided', 'water', 'skiing', 'on', 'a', 'frozen', 'lake', 'wasnt', 'a', 'good', 'idea']",he decided water skiing on a frozen lake wasnt a good idea
221,hepouredrocksinthedungeonofhismind,"['he', 'poured', 'rocks', 'in', 'the', 'dungeon', 'of', 'his', 'mind']",he poured rocks in the dungeon of his mind
222,herdailygoalwastoimproveonyesterday,"['her', 'daily', 'goal', 'was', 'to', 'improve', 'on', 'yesterday']",her daily goal was to improve on yesterday
223,patorderedaghostpepperpie,"['pat', 'ordered', 'a', 'ghost', 'pepper', 'pie']",pat ordered a ghost pepper pie
224,heisgoodateatingpicklesandtellingwomenabouthisemotionalproblems,"['he', 'is', 'good', 'at', 'eating', 'pickles', 'and', 'telling', 'women', 'about', 'his', 'emotional', 'problems']",he is good at eating pickles and telling women about his emotional problems
225,thebestpartofmarriageisanimalcrackerswithpeanutbutter,"['the', 'best', 'part', 'of', 'marriage', 'is', 'animal', 'crackers', 'with', 'peanut', 'butter']",the best part of marriage is animal crackers with peanut butter
226,cursivewritingisthebestwaytobuildaracetrack,"['cursive', 'writing', 'is', 'the', 'best', 'way', 'to', 'build', 'a', 'race', 'track']",cursive writing is the best way to build a race track
227,jennymadetheannouncementthatherbabywasanalien,"['jenny', 'made', 'the', 'announcement', 'that', 'her', 'baby', 'was', 'an', 'alien']",jenny made the announcement that her baby was an alien
228,someoneiknowrecentlycombinedmaplesyrupbutteredpopcornthinkingitwouldtastelikecaramelpopcornitdidntandtheydontrecommendanyoneelsedoiteither,"['someone', 'i', 'know', 'recently', 'combined', 'maple', 'syrup', 'buttered', 'popcorn', 'thinking', 'it', 'would', 'taste', 'like', 'caramel', 'popcorn', 'it', 'didnt', 'and', 'they', 'dont', 'recommend', 'anyone', 'else', 'do', 'it', 'either']",someone i know recently combined maple syrup  buttered popcorn thinking it would taste like caramel popcorn it didnt and they dont recommend anyone else do it either
229,everybodyshouldreadchaucertoimprovetheireverydayvocabulary,"['everybody', 'should', 'read', 'chaucer', 'to', 'improve', 'their', 'everyday', 'vocabulary']",everybody should read chaucer to improve their everyday vocabulary
230,wehaveyoungkidswhooftenwalkintoourroomatnightforvariousreasonsincludingclownsinthecloset,"['we', 'have', 'young', 'kids', 'who', 'often', 'walk', 'into', 'our', 'room', 'at', 'night', 'for', 'various', 'reasons', 'including', 'clowns', 'in', 'the', 'closet']",we have young kids who often walk into our room at night for various reasons including clowns in the closet
231,dontpissinmygardenandtellmeyouretryingtohelpmyplantsgrow,"['dont', 'piss', 'in', 'my', 'garden', 'and', 'tell', 'me', 'youre', 'trying', 'to', 'help', 'my', 'plants', 'grow']",dont piss in my garden and tell me youre trying to help my plants grow
232,mostsharkattacksoccuraboutfeetfromthebeachsincethatswherethepeopleare,"['most', 'shark', 'attacks', 'occur', 'about', 'feet', 'from', 'the', 'beach', 'since', 'thats', 'where', 'the', 'people', 'are']",most shark attacks occur about  feet from the beach since thats where the people are
233,theirargumentcouldbeheardacrosstheparkinglot,"['their', 'argument', 'could', 'be', 'heard', 'across', 'the', 'parking', 'lot']",their argument could be heard across the parking lot
234,marthacametotheconclusionthatshakeweightsareagreatgiftforanyoccasion,"['martha', 'came', 'to', 'the', 'conclusion', 'that', 'shake', 'weights', 'are', 'a', 'great', 'gift', 'for', 'any', 'occasion']",martha came to the conclusion that shake weights are a great gift for any occasion
235,sheopenedupherthirdbottleofwineofthenight,"['she', 'opened', 'up', 'her', 'third', 'bottle', 'of', 'wine', 'of', 'the', 'night']",she opened up her third bottle of wine of the night
236,iwanttobuyaonesiebutknowitwontsuitme,"['i', 'want', 'to', 'buy', 'a', 'onesie', 'but', 'know', 'it', 'wont', 'suit', 'me']",i want to buy a onesie but know it wont suit me
237,bluesoundedtoocoldatthetimeandyetitseemedtoworkforgin,"['blue', 'sounded', 'too', 'cold', 'at', 'the', 'time', 'and', 'yet', 'it', 'seemed', 'to', 'work', 'for', 'gin']",blue sounded too cold at the time and yet it seemed to work for gin
238,icheckedtomakesurethathewasstillalive,"['i', 'checked', 'to', 'make', 'sure', 'that', 'he', 'was', 'still', 'alive']",i checked to make sure that he was still alive
239,toddlersfeedingraccoonssurprisedeventheseasonedparkranger,"['toddlers', 'feeding', 'raccoons', 'surprised', 'even', 'the', 'seasoned', 'park', 'ranger']",toddlers feeding raccoons surprised even the seasoned park ranger
240,henrycouldntdecideifhewasanautomechanicorapriest,"['henry', 'couldnt', 'decide', 'if', 'he', 'was', 'an', 'auto', 'mechanic', 'or', 'a', 'priest']",henry couldnt decide if he was an auto mechanic or a priest
